 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 09:00:00, 1
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 09:30:00, 1
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 10:00:00, 1
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 10:30:00, 1
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 11:00:00, 2
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 11:30:00, 2
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 12:00:00, 2
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 12:30:00, 2
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 13:00:00, 3
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 13:30:00, 3
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 14:00:00, 3
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 14:30:00, 3
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 15:00:00, 4
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 15:30:00, 4
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 16:00:00, 4
 CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL, 2024-04-27, 20:30:00, 4
